时间,今值,预测值
1998年12月1日 (十一月)17:00,"2,205.43K", 
1998年11月1日 (十月)17:00,"2,165.55K", 
1998年10月1日 (九月)17:00,"2,153.09K", 
1998年9月1日 (八月)17:00,"2,210.48K", 
1998年8月1日 (七月)17:00,"2,338.04K", 
1998年7月1日 (六月)17:00,"2,221.14K", 
1998年6月1日 (五月)17:00,"2,134.52K", 
1998年5月1日 (四月)17:00,"2,175.36K", 
1998年4月1日 (三月)17:00,"2,216.68K", 
1998年3月1日 (二月)17:00,"2,224.25K", 
1998年2月1日 (一月)17:00,"2,262.41K", 
1998年1月1日 (十二月)17:00,"2,252.70K", 
1997年12月1日 (十一月)17:00,"2,218.50K", 
1997年11月1日 (十月)17:00,"2,210.30K", 
1997年10月1日 (九月)17:00,"2,235.14K", 
1997年9月1日 (八月)17:00,"2,279.52K", 
1997年8月1日 (七月)17:00,"2,262.65K", 
1997年7月1日 (六月)17:00,"2,295.19K", 
1997年6月1日 (五月)17:00,"2,297.86K", 
1997年5月1日 (四月)17:00,"2,324.68K", 
1997年4月1日 (三月)17:00,"2,342.81K", 
1997年3月1日 (二月)17:00,"2,406.75K", 
1997年2月1日 (一月)17:00,"2,463.74K", 
1997年1月1日 (十二月)17:00,"2,493.59K", 
1996年12月1日 (十一月)17:00,"2,424.14K", 
1996年11月1日 (十月)17:00,"2,457.26K", 
1996年10月1日 (九月)17:00,"2,474.10K", 
1996年9月1日 (八月)17:00,"2,496.91K", 
1996年8月1日 (七月)17:00,"2,488.17K", 
1996年7月1日 (六月)17:00,"2,546.75K", 
1996年6月1日 (五月)17:00,"2,581.35K", 
1996年5月1日 (四月)17:00,"2,630.64K", 
1996年4月1日 (三月)17:00,"2,684.43K", 
1996年3月1日 (二月)17:00,"2,683.67K", 
1996年2月1日 (一月)17:00,"2,661.96K", 
1996年1月1日 (十二月)17:00,"2,610.62K", 
1995年12月1日 (十一月)17:00,"2,665.18K", 
1995年11月1日 (十月)17:00,"2,661.95K", 
1995年10月1日 (九月)17:00,"2,629.43K", 
1995年9月1日 (八月)17:00,"2,608.91K", 
1995年8月1日 (七月)17:00,"2,627.71K", 
1995年7月1日 (六月)17:00,"2,604.14K", 
1995年6月1日 (五月)17:00,"2,577.57K", 
1995年5月1日 (四月)17:00,"2,528.25K", 
1995年4月1日 (三月)17:00,"2,522.13K", 
1995年3月1日 (二月)17:00,"2,524.20K", 
1995年2月1日 (一月)17:00,"2,511.45K", 
1995年1月1日 (十二月)17:00,"2,530.95K", 
1994年12月1日 (十一月)17:00,"2,529.36K", 
1994年11月1日 (十月)17:00,"2,566.81K", 
1994年10月1日 (九月)17:00,"2,619.77K", 
1994年9月1日 (八月)17:00,"2,647.17K", 
1994年8月1日 (七月)17:00,"2,657.24K", 
1994年7月1日 (六月)17:00,"2,709.45K", 
1994年6月1日 (五月)17:00,"2,751.59K", 
1994年5月1日 (四月)17:00,"2,737.86K", 
1994年4月1日 (三月)17:00,"2,749.17K", 
1994年3月1日 (二月)17:00,"2,793.25K", 
1994年2月1日 (一月)17:00,"2,730.43K", 
1994年1月1日 (十二月)17:00,"2,730.70K", 
1993年12月1日 (十一月)17:00,"2,800.86K", 
1993年11月1日 (十月)17:00,"2,827.86K", 
1993年10月1日 (九月)17:00,"2,828.36K", 
1993年9月1日 (八月)17:00,"2,800.05K", 
1993年8月1日 (七月)17:00,"2,790.82K", 
1993年7月1日 (六月)17:00,"2,800.18K", 
1993年6月1日 (五月)17:00,"2,787.29K", 
1993年5月1日 (四月)17:00,"2,775.36K", 
1993年4月1日 (三月)17:00,"2,692.91K", 
1993年3月1日 (二月)17:00,"2,641.00K", 
1993年2月1日 (一月)17:00,"2,709.95K", 
1993年1月1日 (十二月)17:00,"2,803.17K", 
1992年12月1日 (十一月)17:00,"2,947.52K", 
1992年11月1日 (十月)17:00,"3,054.41K", 
1992年10月1日 (九月)17:00,"3,194.59K", 
1992年9月1日 (八月)17:00,"3,194.62K", 
1992年8月1日 (七月)17:00,"3,272.43K", 
1992年7月1日 (六月)17:00,"3,282.68K", 
